Year,Week,Title,Artist
2020,1,"""All I Want for Christmas Is You""",Mariah Carey
2020,2,"""Circles""",Post Malone
2020,3,"""The Box""",Roddy Ricch
2020,4,"""The Box""",Roddy Ricch
2020,5,"""The Box""",Roddy Ricch
2020,6,"""The Box""",Roddy Ricch
2020,7,"""The Box""",Roddy Ricch
2020,8,"""The Box""",Roddy Ricch
2020,9,"""The Box""",Roddy Ricch
2020,10,"""The Box""",Roddy Ricch
2020,11,"""The Box""",Roddy Ricch
2020,12,"""The Box""",Roddy Ricch
2020,13,"""The Box""",Roddy Ricch
2020,14,"""Blinding Lights""",The Weeknd
2020,15,"""Blinding Lights""",The Weeknd
2020,16,"""Toosie Slide""",Drake
2020,17,"""Blinding Lights""",The Weeknd
2020,18,"""Blinding Lights""",The Weeknd
2020,19,"""The Scotts""",The Scotts
2020,20,"""Say So""",Doja Cat featuring Nicki Minaj
2020,21,"""Stuck with U""",Ariana Grande and Justin Bieber
2020,22,"""Savage""",Megan Thee Stallion featuring Beyoncé
2020,23,"""Rain on Me""",Lady Gaga and Ariana Grande
2020,24,"""Rockstar""",DaBaby featuring Roddy Ricch
2020,25,"""Rockstar""",DaBaby featuring Roddy Ricch
2020,26,"""Trollz""",Daniel Hernandez and Nicki Minaj
2020,27,"""Rockstar""",DaBaby featuring Roddy Ricch
2020,28,"""Rockstar""",DaBaby featuring Roddy Ricch
2020,29,"""Rockstar""",DaBaby featuring Roddy Ricch
2020,30,"""Rockstar""",DaBaby featuring Roddy Ricch
2020,31,"""Rockstar""",DaBaby featuring Roddy Ricch
2020,32,"""Cardigan""",Taylor Swift
2020,33,"""Watermelon Sugar""",Harry Styles
2020,34,"""Watermelon Apple Pear""",Cardi B featuring Megan Thee Stallion
2020,35,"""Watermelon Apple Pear""",Cardi B featuring Megan Thee Stallion
2020,36,"""Dynamite""",BTS
2020,37,"""Dynamite""",BTS
2020,38,"""Watermelon Apple Pear""",Cardi B featuring Megan Thee Stallion
2020,39,"""Watermelon Apple Pear""",Cardi B featuring Megan Thee Stallion
2020,40,"""Dynamite""",BTS
2020,41,"""Franchise""",Travis Scott featuring Young Thug and M.I.A.
2020,42,"""Savage Love (Laxed – Siren Beat)""","Jawsh 685, Jason Derulo and BTS"
2020,43,"""Mood""",24kGoldn featuring Iann Dior
2020,44,"""Mood""",24kGoldn featuring Iann Dior
2020,45,"""Positions""",Ariana Grande
2020,46,"""Mood""",24kGoldn featuring Iann Dior
2020,47,"""Mood""",24kGoldn featuring Iann Dior
2020,48,"""Mood""",24kGoldn featuring Iann Dior
2020,49,"""Life Goes On""",BTS
2020,50,"""Mood""",24kGoldn featuring Iann Dior
2020,51,"""All I Want for Christmas Is You""",Mariah Carey
2020,52,"""Willow""",Taylor Swift
2021,1,"""All I Want for Christmas Is You""",Mariah Carey
2021,2,"""Mood""",24kGoldn featuring Iann Dior
2021,3,"""Mood""",24kGoldn featuring Iann Dior
2021,4,"""Drivers License""",Olivia Rodrigo
2021,5,"""Drivers License""",Olivia Rodrigo
2021,6,"""Drivers License""",Olivia Rodrigo
2021,7,"""Drivers License""",Olivia Rodrigo
2021,8,"""Drivers License""",Olivia Rodrigo
2021,9,"""Drivers License""",Olivia Rodrigo
2021,10,"""Drivers License""",Olivia Rodrigo
2021,11,"""Drivers License""",Olivia Rodrigo
2021,12,"""What's Next""",Drake
2021,13,"""Up""",Cardi B
2021,14,"""Peaches""",Justin Bieber featuring Daniel Caesar and Giveon
2021,15,"""Montero (Call Me by Your Name)""",Lil Nas X
2021,16,"""Leave the Door Open""",Silk Sonic
2021,17,"""Rapstar""",Polo G
2021,18,"""Rapstar""",Polo G
2021,19,"""Save Your Tears""",The Weeknd and Ariana Grande
2021,20,"""Save Your Tears""",The Weeknd and Ariana Grande
2021,21,"""Leave the Door Open""",Silk Sonic
2021,22,"""Good 4 U""",Olivia Rodrigo
2021,23,"""Butter""",BTS
2021,24,"""Butter""",BTS
2021,25,"""Butter""",BTS
2021,26,"""Butter""",BTS
2021,27,"""Butter""",BTS
2021,28,"""Butter""",BTS
2021,29,"""Butter""",BTS
2021,30,"""Permission to Dance""",BTS
2021,31,"""Butter""",BTS
2021,32,"""Butter""",BTS
2021,33,"""Stay""",The Kid Laroi and Justin Bieber
2021,34,"""Stay""",The Kid Laroi and Justin Bieber
2021,35,"""Stay""",The Kid Laroi and Justin Bieber
2021,36,"""Stay""",The Kid Laroi and Justin Bieber
2021,37,"""Butter""",BTS
2021,38,"""Way 2 ....""",Drake featuring Future and Young Thug
2021,39,"""Stay""",The Kid Laroi and Justin Bieber
2021,40,"""Stay""",The Kid Laroi and Justin Bieber
2021,41,"""My Universe""",Coldplay and BTS
2021,42,"""Stay""",The Kid Laroi and Justin Bieber
2021,43,"""Industry Baby""",Lil Nas X and Jack Harlow
2021,44,"""Easy on Me""",Adele
2021,45,"""Easy on Me""",Adele
2021,46,"""Easy on Me""",Adele
2021,47,"""Easy on Me""",Adele
2021,48,"""All Too Well (Taylor's Version)""",Taylor Swift
2021,49,"""Easy on Me""",Adele
2021,50,"""Easy on Me""",Adele
2021,51,"""Easy on Me""",Adele
2021,52,"""All I Want for Christmas Is You""",Mariah Carey
2022,1,"""All I Want for Christmas Is You""",Mariah Carey
2022,2,"""All I Want for Christmas Is You""",Mariah Carey
2022,3,"""Easy on Me""",Adele
2022,4,"""Easy on Me""",Adele
2022,5,"""Easy on Me""",Adele
