"sessionnum","activity","session_time","mean_alpha","mean_beta","mean_gamma","mean_delta","mean_theta","var_alpha","var_beta","var_gamma","var_delta","var_theta","blinks_minute","jaws_minute","mean_pos_xy","mad_accel","rmse_gyro"
1,"active",2496,1.87762335186657,1.08125937727724,0.316667111405959,0.813706323482804,1.05222497212581,0.331782774691895,0.16149967437809,0.268728721315606,1.07233786816084,0.617771881369426,14.6875,6.5625,0.199307729466365,0.0160687264285894,7.45034522132622
2,"resting",2374,2.01894356218961,0.777814616806686,-0.563135143877518,0.159807594630205,0.985615543121237,0.318747504863657,0.0982743874258128,0.139454976676142,0.728747948212112,0.508785041148269,1.11204717775906,4.14490311710194,0.704975606015219,0.0064105997326058,6.20344539606672
3,"active",3530,1.44961895336798,0.787625540438982,-0.268445346413369,0.681913819258014,0.75142167887845,0.350198424916258,0.145347029994649,0.199740544760075,1.05513430487949,0.644929450989223,12.9008498583569,4.47025495750708,0.135170671070312,0.0173376569427072,7.44448031301262
4,"gaming",5136,0.791956772076167,0.400622899053487,-0.114835358862323,0.156627207641835,0.205679634628292,0.151839628989606,0.0583884755712302,0.0851506734107822,0.477474774990983,0.295652830850845,36.0163551401869,0.0934579439252336,0.130347826024324,0.01958129522325,7.04755496305312
5,"reading",2819,1.56906393722801,1.01950490010847,0.0626931897234404,0.530459399640876,0.679080520054859,0.280553513663907,0.15365300570994,0.229918776094947,0.914606923691714,0.502723971811559,4.40581766583895,6.19368570415041,0.260411267752276,0.0145412389519865,6.11834375978658
6,"active",1026,2.65111803436233,1.96144398882097,0.962652821204815,2.59874837172604,2.43354647178946,0.478658358411364,0.277715653915251,0.241607959579603,0.816006885723594,0.828018946991868,47.2514619883041,0.175438596491228,0.170655153387015,0.0420047693458158,14.7241958928423
7,"resting",4090,1.79331152744354,0.784267474138414,-0.407739977589775,0.323516367761709,0.79119069688827,0.365785794702201,0.150980780996795,0.230189034368498,0.587467403442501,0.496174411716634,45.5647921760391,0.601466992665037,0.767478772688111,0.00631584436668531,6.02292321602336
8,"active",3277,1.4214124079381,0.922515457587507,-0.0287503158252403,0.589071088535818,0.688277509473555,0.337134248262359,0.200562275724182,0.302197383569344,1.29020077377193,0.711410336438051,14.7940189197437,1.86756179432408,0.18151967264358,0.0179895660114288,7.83712893625339
9,"watchingtv",2039,1.88272234553901,1.47903341663141,0.950727616489311,0.838646340873592,1.01705993951625,0.246479952386661,0.166632968561542,0.277934245152923,0.832518913904145,0.476974820558403,3.67827366356057,0.676802354095145,0.146392466859512,0.0172997318876279,6.80037641169528
10,"active",3207,1.00818703802285,0.597253324580975,0.0293704937788961,0.592003865121295,0.382885776129145,0.271954937073939,0.139819539710482,0.151813362855916,0.961557081569902,0.40053181892896,10.9073900841908,27.5584658559401,0.138509828911834,0.0193261949953483,7.44887001759962
11,"resting",3222,1.72767575745918,0.496415599745887,-0.855269909373419,0.454828834102329,0.764358195602403,0.424321305304655,0.212135358365853,0.452837898362423,1.02607715888459,0.447673390702079,1.41527001862197,1.95530726256983,0.959970875654224,0.0136748479858664,6.23009782754794
12,"meeting",3104,2.01966214448122,1.44487705710235,0.715709540867661,1.61553710985272,1.6843081887199,0.375607065115431,0.285483154715915,0.433008338930052,1.3747894082315,0.725666809813273,22.5579896907216,5.35438144329897,0.215912996193505,0.0213744113744723,9.63597393964579
13,"active",4193,1.8891221657643,1.90607573488406,1.37543092384409,1.27869754290359,1.21007039419464,0.430974039532979,0.354410858878876,0.416940970729696,0.859633783150934,0.610623121584609,62.432625804913,6.13880276651562,0.164628803168372,0.0228504875365944,9.20066096555222
14,"resting",3568,2.2776359596927,1.22975601296613,-0.113670386132481,1.02050414095449,1.35495952535058,0.637750811785767,0.306223996255852,0.237891451047698,0.652184902949919,0.436371522181995,0.538116591928251,40.8800448430493,0.922024993608992,0.00868784325910752,5.93105269349393
15,"resting",3175,2.76963342260263,1.18840407687376,-0.792847592448054,1.6202812108505,1.62122554932077,0.960912388515634,0.427304766392694,0.384752557652066,1.53101361116683,0.821423464363547,0.188976377952756,0.283464566929134,0.873018123986451,0.00488593396874878,5.87354877578008
16,"active",2860,1.25996200489752,0.83814202338058,0.221250276595507,1.03600133500605,0.803082166768652,0.743657392834237,0.330820384662698,0.775070060387901,0.952221636800373,0.847559109352203,15.1048951048951,3.29370629370629,0.205284653197329,0.0239218443416167,9.34246432680152
17,"active",2004,1.52915716520727,1.047474221555,0.261478419817571,0.554713232036247,0.7217634244084,0.30802882416286,0.135367163749308,0.283622145642128,0.897564408445493,0.543252173567715,9.25149700598802,1.76646706586826,0.141415444542827,0.0180707163251917,7.11483196521617
18,"music",3785,2.08189552389807,1.24285534518617,0.0770784795506745,1.81965144534062,1.29120203141035,0.630889152796314,0.293904458500501,0.33114512167891,2.15253384399626,1.24319845447978,18.1505944517834,1.61690885072655,0.216298279326817,0.0343941191006869,11.4213522610851
19,"active",3406,1.69556431365814,1.08113269400685,0.430035533444285,1.07803473607917,1.01129704894114,0.418016067432109,0.16688264038234,0.215264636756261,1.04435220652333,0.61464603060886,28.1150910158544,16.5590135055784,0.149615672682965,0.0203190475704617,8.55523121805176
20,"active",1616,1.48876735942632,1.09530804742308,0.383460640512278,0.814041590691287,0.949906568150779,0.323580890787526,0.19400368547259,0.128495263074836,0.637951500397329,0.440748371771432,11.7326732673267,6.31188118811881,0.17648407596339,0.0154395253017564,7.14524750913765
