title,available_globally,release_date,hours_viewed,movie
The Night Agent: Season 1,Yes,2023-03-23,812100000,No
Ginny & Georgia: Season 2,Yes,2023-01-05,665100000,No
The Glory: Season 1 // 더 글로리: 시즌 1,Yes,2022-12-30,622800000,No
Wednesday: Season 1,Yes,2022-11-23,507700000,No
Queen Charlotte: A Bridgerton Story,Yes,2023-05-04,503000000,No
You: Season 4,Yes,2023-02-09,440600000,No
La Reina del Sur: Season 3,No,2022-12-30,429600000,No
Outer Banks: Season 3,Yes,2023-02-23,402500000,No
Ginny & Georgia: Season 1,Yes,2021-02-24,302100000,No
FUBAR: Season 1,Yes,2023-05-25,266200000,No
Manifest: Season 4,Yes,2022-11-04,262600000,No
Kaleidoscope: Limited Series,Yes,2023-01-01,252500000,No
Firefly Lane: Season 2,Yes,2022-12-02,251500000,No
The Mother,Yes,2023-05-12,249900000,Yes
Physical: 100: Season 1 // 피지컬: 100: 시즌 1,Yes,2023-01-24,235000000,No
Crash Course in Romance: Limited Series // 일타 스캔들: 리미티드 시리즈,Yes,2023-01-14,234800000,No
Love Is Blind: Season 4,Yes,2023-03-24,229700000,No
BEEF: Season 1,Yes,2023-04-06,221100000,No
The Diplomat: Season 1,Yes,2023-04-20,214100000,No
Luther: The Fallen Sun,Yes,2023-03-10,209700000,Yes
Fake Profile: Season 1 // Perfil falso: Temporada 1,No,2023-05-31,206500000,No
Vikings: Valhalla: Season 2,Yes,2023-01-12,205500000,No
Extraction 2,Yes,2023-06-16,201800000,Yes
"XO, Kitty: Season 1",Yes,2023-05-18,200700000,No
Doctor Cha: Limited Series // 닥터 차정숙: 리미티드 시리즈,Yes,2023-04-15,194700000,No
Shadow and Bone: Season 2,Yes,2023-03-16,192900000,No
Outer Banks: Season 1,Yes,2020-04-15,184000000,No
Sweet Tooth: Season 2,Yes,2023-04-27,182300000,No
You People,Yes,2023-01-27,181800000,Yes
Perfect Match: Season 1,Yes,2023-02-14,176800000,No
Sex/Life: Season 2,Yes,2023-03-02,175500000,No
The Marked Heart: Season 2 // Pálpito: Temporada 2,Yes,2023-04-19,174300000,No
Murder Mystery 2,Yes,2023-03-31,173600000,Yes
The Surrogacy: Season 1 // Madre de alquiler: Temporada 1,No,2023-06-14,172400000,No
"Pablo Escobar, el patrón del mal: Season 1",Yes,,170100000,No
Never Have I Ever: Season 4,Yes,2023-06-08,168300000,No
Your Place or Mine,Yes,2023-02-10,163000000,Yes
Chiquititas (2013),No,,162000000,No
Emily in Paris: Season 3,Yes,2022-12-21,161100000,No
Alice in Borderland: Season 2 // 今際の国のアリス: シーズン2,Yes,2022-12-22,157600000,No
Alchemy of Souls: Part 1 // 환혼: 파트 1,Yes,2022-06-18,155300000,No
Outer Banks: Season 2,Yes,2021-07-30,153900000,No
New Amsterdam (2018): Season 1,No,,153000000,No
Til Money Do Us Part: Season 1 // Hasta que la plata nos separe: Temporada 1,No,2022-10-19,152100000,No
Mr. Queen // 철인왕후,No,,151500000,No
Manifest: Season 1,No,2021-06-10,151400000,No
Alchemy of Souls: Part 2 // 환혼: 파트 2,Yes,2022-12-10,150200000,No
PAW Patrol: Season 6,No,,149300000,No
The Good Bad Mother: Limited Series // 나쁜엄마: 리미티드 시리즈,Yes,2023-04-26,148600000,No
The Recruit: Season 1,Yes,2022-12-16,146900000,No
Bloodhounds: Season 1 // 사냥개들: 시즌 1,Yes,2023-06-09,146700000,No
Glass Onion: A Knives Out Mystery,Yes,2022-12-23,142900000,Yes
Wrong Side of the Tracks: Season 2 // Entrevías: Temporada 2,No,2023-03-01,140100000,No
Black Mirror: Season 6,Yes,2023-06-15,139900000,No
Triptych: Season 1 // Tríada: Temporada 1,Yes,2023-02-22,139300000,No
The Walking Dead: Season 11,No,,136800000,No
Bridgerton: Season 1,Yes,2020-12-25,136600000,No
CoComelon: Season 1,No,2020-05-31,136200000,No
Extraordinary Attorney Woo: Season 1 // 이상한 변호사 우영우: 시즌 1,Yes,2022-06-29,135900000,No
The Snow Girl: Season 1 // La chica de nieve: Temporada 1,Yes,2023-01-27,134800000,No
Stranger Things 4,Yes,2022-05-27,133600000,No
The Marked Heart: Season 1 // Pálpito: Temporada 1,Yes,2022-04-20,133500000,No
Bridgerton: Season 2,Yes,2022-03-25,133400000,No
Little Angel: Volume 1,Yes,,132100000,No
PAW Patrol: Season 5,No,,130700000,No
Pasión de Gavilanes: Season 1,No,,129200000,No
Suits (2011): Season 1,Yes,,129100000,No
Sex/Life: Season 1,Yes,2021-06-25,126400000,No
We Have a Ghost,Yes,2023-02-24,124400000,Yes
You: Season 1,Yes,2018-12-26,123500000,No
Business Proposal: Season 1 // 사내맞선: 시즌 1,Yes,2022-02-28,120700000,No
The Pale Blue Eye,Yes,2023-01-06,120500000,Yes
Crash Landing on You: Season 1 // 사랑의 불시착: 시즌 1,Yes,2019-12-14,120300000,No
AKA,Yes,2023-04-28,120000000,Yes
MH370: The Plane That Disappeared: Limited Series,Yes,2023-03-08,118900000,No
Queenmaker: Season 1 // 퀸메이커: 시즌 1,Yes,2023-04-14,118600000,No
Vikings: Valhalla: Season 1,Yes,2022-02-25,116500000,No
Breaking Bad: Season 2,No,,116200000,No
Muted: Limited Series // El silencio: Miniserie,Yes,2023-05-19,115800000,No
Lockwood & Co.: Season 1,Yes,2023-01-27,113600000,No
You: Season 3,Yes,2021-10-15,107200000,No
Breaking Bad: Season 5,No,,107000000,No
Suits (2011): Season 2,Yes,,106600000,No
Murdaugh Murders: A Southern Scandal: Season 1,Yes,2023-02-22,104600000,No
Welcome to Eden: Season 2 // Bienvenidos a Edén: Temporada 2,Yes,2023-04-21,104500000,No
Breaking Bad: Season 3,No,,104300000,No
Lucifer: Season 3,No,2017-10-03,102800000,No
CoComelon: Season 2,No,2020-12-17,102300000,No
Café con aroma de mujer: Season 1,No,2021-12-29,101700000,No
Love to Hate You: Season 1 // 연애대전: 시즌 1,Yes,2023-02-10,99900000,No
The Blacklist: Season 1,No,,99900000,No
Shadow and Bone: Season 1,Yes,2021-04-23,99500000,No
"The Unbroken Voice: Season 1 // Canto para no llorar, Arelys Henao: Temporada 1",No,2022-11-23,99000000,No
Designated Survivor: Season 1,Yes,2016-09-22,98500000,No
The Interest of Love: Limited Series // 사랑의 이해: 리미티드 시리즈,Yes,2022-12-21,97800000,No
Wrong Side of the Tracks: Season 1 // Entrevías: Temporada 1,No,2022-05-20,97600000,No
Minions: The Rise of Gru,No,,96400000,Yes
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc // 鬼滅の刃: 竈門炭治郎 立志編",No,,95800000,No
The Blacklist: Season 9,No,,95700000,No
That '90s Show: Part 1,Yes,2023-01-19,95100000,No
You: Season 2,Yes,2019-12-26,95000000,No
La Reina del Sur: Season 1,No,2011-09-05,94700000,No
All of Us Are Dead: Season 1 // 지금 우리 학교는: 시즌 1,Yes,2022-01-28,94600000,No
New Amsterdam (2018): Season 2,No,,94400000,No
Black Knight: Season 1 // 택배기사: 시즌 1,Yes,2023-05-12,94300000,No
Breaking Bad: Season 4,No,,94300000,No
Obsession: Limited Series,Yes,2023-04-13,94200000,No
Who Were We Running From?: Limited Series // Biz Kimden Kaçıyorduk Anne?: Mini Dizi,Yes,2023-03-24,92900000,No
La Reina del Sur: Season 2,No,2019-08-16,92500000,No
Hunger // คนหิว เกมกระหาย,Yes,2023-04-08,92300000,Yes
Alice in Borderland: Season 1 // 今際の国のアリス: シーズン1,Yes,2020-12-10,92200000,No
CoComelon: Season 3,No,2021-05-31,91400000,No
Firefly Lane: Season 1,Yes,2021-02-03,91200000,No
Women at War: Limited Series // Les Combattantes: Mini-série,Yes,2022-10-27,90800000,No
Formula 1: Drive to Survive: Season 5,Yes,2023-02-24,90200000,No
Sweet Tooth: Season 1,Yes,2021-06-04,89000000,No
S.W.A.T. (2017): Season 1,No,,88600000,No
Murder Mystery,Yes,2019-06-14,87900000,Yes
True Beauty // 여신강림,No,,87300000,No
Squid Game: Season 1 // 오징어 게임: 시즌 1,Yes,2021-09-17,87200000,No
Little Angel: Volume 2,Yes,,86200000,No
Manifest: Season 2,No,2021-06-10,86200000,No
Extraction,Yes,2020-04-24,86100000,Yes
Lucifer: Season 2,No,2017-08-31,86100000,No
Lady Voyeur: Limited Series // Olhar Indiscreto: Minissérie,Yes,2022-12-31,86000000,No
Woman of the Dead: Season 1 // Totenfrau: Season 1,Yes,2022-11-15,85400000,No
The Law According to Lidia Poët: Season 1 // La legge di Lidia Poët: Stagione 1,Yes,2023-02-15,85000000,No
Florida Man: Limited Series,Yes,2023-04-13,84600000,No
Lucifer: Season 1,No,2017-07-23,84400000,No
Shahmaran: Season 1 // Şahmaran: Season 1,Yes,2023-01-20,83600000,No
Breaking Bad: Season 1,No,,83200000,No
The Last Kingdom: Seven Kings Must Die,Yes,2023-04-14,83200000,No
Selling Sunset: Season 6,Yes,2023-05-19,82800000,No
CoComelon: Season 4,No,2021-10-14,82500000,No
Suits (2011): Season 3,Yes,,82500000,No
Sam & Cat: Season 1,No,,82400000,No
Gilmore Girls: Season 1,Yes,,82100000,No
Sonic Prime: Season 1,Yes,2022-12-15,82100000,No
Peppa Pig: Season 1,No,,81800000,No
Manifest: Season 3,No,2021-08-21,81700000,No
Roald Dahl's Matilda The Musical,Yes,2022-12-25,81000000,Yes
Better Call Saul: Season 6,No,2022-04-19,80800000,No
Sing (2016),No,,80500000,Yes
Hajime no Ippo: The Fighting!: Season 1 // はじめの一歩: シーズン1,No,,80300000,No
All Quiet on the Western Front // Im Westen nichts Neues,Yes,2022-10-28,80000000,Yes
Sky High: The Series: Season 1 // Hasta el cielo: La serie: Season 1,Yes,2023-03-17,79700000,No
Alpha Males: Season 1 // Machos alfa: Season 1,No,2022-12-30,78200000,No
Record of Ragnarok: Season 2 // 終末のワルキューレ: シーズン２,No,2023-01-26,78200000,No
Chupa,Yes,2023-04-07,77800000,Yes
Stranger Things,Yes,2016-07-15,77800000,No
Paw Patrol: The Movie,No,,77200000,No
Sing 2,No,,76600000,Yes
The Crown: Season 5,Yes,2022-11-09,76300000,No
Next in Fashion: Season 2,Yes,2023-03-03,75700000,No
Gilmore Girls: Season 2,Yes,,75200000,No
Lucifer: Season 5,No,2020-08-21,75200000,No
The Boss Baby,No,,75100000,Yes
Treason: Limited Series,Yes,2022-12-26,74300000,No
Trolls,No,,73400000,Yes
Blood Ties: Season 1 // Las Villamizar: Season 1,No,,73300000,No
Money Heist: Part 1 // La casa de papel: Parte 1,Yes,2017-07-01,73100000,No
Rough Diamonds: Season 1,Yes,2023-04-21,72800000,No
Vincenzo: Season 1 // 빈센조: 시즌 1,Yes,2021-02-20,72800000,No
The Walking Dead: Season 10,No,,72200000,No
The Witcher: Season 1,Yes,2019-12-20,72200000,No
Gabby's Dollhouse: Season 1,Yes,2021-01-05,71600000,No
The Walking Dead: Season 3,No,,71600000,No
Carrossel,No,,71300000,No
Gilmore Girls: Season 3,Yes,,71300000,No
Red Rose: Season 1,Yes,2023-02-15,71100000,No
Fauda: Season 4 // פאודה: עונה 4,Yes,2023-01-20,71000000,No
New Amsterdam (2018): Season 3,No,,70600000,No
Gilmore Girls: Season 5,Yes,,69900000,No
Gilmore Girls: Season 4,Yes,,69800000,No
The Blacklist: Season 2,No,,69700000,No
"Divorce Attorney Shin: Limited Series // 신성한, 이혼: 리미티드 시리즈",Yes,2023-03-04,69500000,No
Stranger Things 2,Yes,2017-10-27,69200000,No
Hometown Cha-Cha-Cha: Season 1 // 갯마을 차차차: 시즌 1,Yes,2021-08-28,69000000,No
Love Is Blind: Season 3,Yes,2022-10-19,68900000,No
Kill Boksoon // 길복순,Yes,2023-03-31,68500000,Yes
The Thundermans: Season 1,No,,68500000,No
The Flash (2014): Season 1,No,,68200000,No
Red Notice,Yes,2021-11-12,68100000,Yes
Henry Danger: Season 1,No,,67800000,No
The Queen of Flow: Season 2 // La reina del flow: Temporada 2,No,2021-11-17,67800000,No
The Walking Dead: Season 2,No,,67700000,No
Viking Wolf // Vikingulven,Yes,2023-02-03,67500000,Yes
Designated Survivor: Season 2,Yes,2017-09-28,67200000,No
Bebefinn: Season 1,Yes,,67100000,No
Hotel Transylvania 2,No,,67000000,Yes
Stranger Things 3,Yes,2019-07-04,67000000,No
Masha and the Bear: Season 1,No,,66700000,No
Outlander: Season 1,No,2016-03-31,66500000,No
Grizzy and the Lemmings: Season 2,No,,66000000,No
Single’s Inferno: Season 2 // 솔로지옥: 시즌 2,Yes,2022-12-13,65900000,No
The Witcher: Blood Origin: Limited Series,Yes,2022-12-25,65300000,No
The Nurse: Limited Series // Sygeplejersken: Miniserie,Yes,2023-04-27,65200000,No
The Watcher: Season 1,Yes,2022-10-13,64400000,No
Jumanji: The Next Level,No,,64300000,Yes
Suits (2011): Season 4,Yes,,64200000,No
Gilmore Girls: Season 6,Yes,,63900000,No
The Tailor: Season 1 // Terzi: 1. Sezon,Yes,2023-05-02,63900000,No
All American: Season 5,No,,63700000,No
Peppa Pig: Season 2,No,,63700000,No
DAHMER: Monster: The Jeffrey Dahmer Story,Yes,2022-09-21,63500000,No
The Blacklist: Season 3,No,,63500000,No
Narvik,No,2023-01-23,63100000,Yes
Home (2015),No,,62800000,Yes
The Sea Beast,Yes,2022-07-08,62700000,Yes
The Walking Dead: Season 4,No,,62300000,No
Harry & Meghan: Limited Series,Yes,2022-12-08,62000000,No
The Walking Dead: Season 5,No,,62000000,No
My Dad the Bounty Hunter: Season 1,Yes,2023-02-09,61800000,No
Dog Gone,Yes,2023-01-13,61600000,Yes
Maid: Limited Series,Yes,2021-10-01,61500000,No
Pasión de Gavilanes: Season 2,No,,61500000,No
A Man Called Otto,No,,61300000,Yes
Peaky Blinders: Season 1,No,2014-09-30,61100000,No
Victorious: Season 1,No,,61100000,No
Never Have I Ever: Season 1,Yes,2020-04-27,61000000,No
THE DAYS: Limited Series,No,2023-06-01,60800000,No
Eva Lasting: Season 1 // La primera vez: Temporada 1,Yes,2023-02-15,60600000,No
Unseen: Season 1,Yes,2023-03-29,60100000,No
Narcos: Season 1,Yes,2015-08-28,59900000,No
The Walking Dead: Season 6,No,,59800000,No
MADOFF: The Monster of Wall Street: Limited Series,Yes,2023-01-04,59600000,No
The Witcher: Season 2,Yes,2021-12-17,59300000,No
Sky Rojo: Season 3,Yes,2023-01-13,58500000,No
Young Lady and Gentleman // 신사와 아가씨,No,,58500000,No
Miraculous: Tales of Ladybug & Cat Noir: Season 1,No,,58300000,No
Never Have I Ever: Season 3,Yes,2022-08-12,58300000,No
The Gray Man,Yes,2022-07-22,58300000,Yes
S.W.A.T. (2017): Season 2,No,,57900000,No
ONE PIECE: East Blue // ワンピース: イーストブルー編,No,,57800000,Yes
Brooklyn Nine-Nine: Season 1,No,,57500000,No
New Amsterdam (2018): Season 4,No,,57500000,No
Workin' Moms: Season 7,No,2023-04-26,57500000,No
Barbie Life in the Dreamhouse: Season 1,Yes,,57400000,No
The Walking Dead: Season 7,No,,57400000,No
The Blacklist: Season 8,No,,57000000,No
The Sandman: Season 1,Yes,2022-08-05,56700000,No
True Spirit,Yes,2023-02-03,56700000,Yes
CoComelon: Season 5,No,2022-03-31,56600000,No
Gilmore Girls: Season 7,Yes,,56500000,No
The Strays,Yes,2023-02-22,56500000,Yes
Suits (2011): Season 5,Yes,,56400000,No
The Croods,No,,56400000,Yes
Grizzy and the Lemmings: Season 1,No,,56300000,No
The Empress: Season 1 // Die Kaiserin: Staffel 1,Yes,2022-09-29,56000000,No
Matilda (1996),No,,55700000,Yes
Outlast: Season 1,Yes,2023-03-10,55500000,No
The Good Doctor: Season 1,No,,55500000,No
CoComelon: Season 7,No,2023-02-14,55200000,No
Jane The Virgin: Season 1,Yes,,55200000,No
The Blacklist: Season 4,No,,55200000,No
VINLAND SAGA: Season 2 // ヴィンランド・サガ: シーズン2,No,,55100000,No
The Queen of Flow: Season 1 // La reina del flow: Temporada 1,No,2018-11-09,55000000,No
Brooklyn Nine-Nine: Season 2,No,,54800000,No
Carinha de Anjo: Season 1,No,,54400000,No
"Surviving Escobar - Alias JJ: Season 1 // Sobreviviendo a Escobar, Alias JJ: Temporada 1",No,2017-07-31,54400000,No
The Circle: Season 5,Yes,2022-12-28,54400000,No
The Ultimatum: Queer Love: Season 1,Yes,2023-05-24,53800000,No
Never Have I Ever: Season 2,Yes,2021-07-15,53700000,No
Brooklyn Nine-Nine: Season 3,No,,53600000,No
¡Que viva México!,Yes,2023-05-11,53500000,Yes
Emily in Paris: Season 2,Yes,2021-12-22,53300000,No
The Last Kingdom: Season 5,No,2022-03-09,53300000,No
Full Swing: Season 1,Yes,2023-02-15,53100000,No
The Walking Dead: Season 8,No,,53000000,No
Welcome to Eden: Season 1 // Bienvenidos a Edén: Temporada 1,Yes,2022-05-06,53000000,No
We Can Be Heroes,Yes,2020-12-25,52800000,Yes
Arnold: Limited Series,Yes,2023-06-07,52500000,No
Better Call Saul: Season 1,No,2015-02-08,52500000,No
The King's Affection: Season 1 // 연모: 시즌 1,Yes,2021-10-11,52400000,No
Shameless (U.S.): Season 1,No,,52300000,No
Missing: Dead or Alive?: Season 1,Yes,2023-05-10,52200000,No
Bodyguard: Season 1,Yes,2018-10-24,52000000,No
Dr. Seuss' The Lorax,No,,52000000,Yes
1899: Season 1,Yes,2022-11-17,51800000,No
A Tourist's Guide to Love,Yes,2023-04-21,51800000,Yes
It's Okay to Not Be Okay: Season 1 // 사이코지만 괜찮아: 시즌 1,Yes,2020-06-20,51800000,No
Vikings (2013): Season 4,No,,51800000,No
Faraway,Yes,2023-03-08,51700000,Yes
Blood & Gold,Yes,2023-05-26,51600000,Yes
I Am Georgina: Season 2 // Soy Georgina: Temporada 2,Yes,2023-03-24,51600000,No
The Blacklist: Season 5,No,,51600000,No
Little Women: Limited Series // 작은 아씨들: 리미티드 시리즈,No,2022-09-03,51300000,No
Grey's Anatomy: Season 2,No,,51200000,No
The Walking Dead: Season 9,No,,51200000,No
The Office (U.S.): Season 3,No,,51000000,No
The Last Kingdom: Season 1,Yes,2015-12-28,50900000,No
The Endless Night: Limited Series // Todo Dia a Mesma Noite: Minissérie,Yes,2023-01-25,50800000,No
Faithfully Yours,No,2023-05-17,50600000,Yes
Masha and the Bear: Season 3,No,,50400000,No
Masha and the Bear: Season 5,No,,50300000,No
The Office (U.S.): Season 5,No,,50100000,No
2 Hearts,No,,50000000,Yes
Suits (2011): Season 6,Yes,,50000000,No
Tin & Tina,Yes,2023-05-26,49700000,Yes
The Blacklist: Season 6,No,,49600000,No
Friends (1994): Season 6,No,,49400000,No
Love Is Blind: Brazil: Season 2 // Casamento às Cegas: Brasil: Temporada 2,Yes,2022-12-28,49300000,No
VINLAND SAGA: Season 1 // ヴィンランド・サガ: シーズン1,Yes,,49300000,No
"Newly Rich, Newly Poor: Season 1 // Nuevo rico, nuevo pobre: Temporada 1",No,,49200000,No
The Lincoln Lawyer: Season 1,Yes,2022-05-13,49200000,No
Brooklyn Nine-Nine: Season 4,No,,48900000,No
Cobra Kai: Season 5,Yes,2022-09-09,48900000,No
Orange Is the New Black: Season 1,Yes,2013-07-11,48800000,No
El final del paraíso: Season 1,No,,48600000,No
Shooter: Season 1,No,2016-11-16,48600000,No
Brooklyn Nine-Nine: Season 5,No,,48500000,No
Rosario Tijeras (Mexico): Season 1,No,,48500000,No
The Smurfs (2021): Season 1,No,,48400000,No
Emily in Paris: Season 1,Yes,2020-10-02,48300000,No
The Magician's Elephant,Yes,2023-03-17,48300000,Yes
Friends (1994): Season 5,No,,48200000,No
Shrek,No,,48100000,Yes
Suits (2011): Season 7,Yes,,48100000,No
Teen Titans Go!: Season 5,No,,48100000,No
American Manhunt: The Boston Marathon Bombing: Limited Series,Yes,2023-04-12,47900000,No
Twenty Five Twenty One: Season 1 // 스물다섯 스물하나: 시즌 1,Yes,2022-02-12,47800000,No
Shrek 2,No,,47500000,Yes
JUNG_E // 정이,Yes,2023-01-20,47100000,Yes
Friends (1994): Season 3,No,,46900000,No
The School for Good and Evil,Yes,2022-10-19,46900000,Yes
Puss in Boots (2011),No,,46600000,Yes
The Thundermans: Season 2,No,,46500000,No
Friends (1994): Season 1,No,,46400000,No
Teen Titans Go!: Season 1,No,,46400000,No
Rana Naidu: Season 1 // राणा नायडू: सीज़न 1,Yes,2023-03-10,46300000,No
From Scratch: Limited Series,Yes,2022-10-21,46200000,No
Bake Squad: Season 2,Yes,2023-01-20,46100000,No
Friends (1994): Season 7,No,,46100000,No
Under the Queen's Umbrella: Limited Series // 슈룹: 리미티드 시리즈,Yes,2022-10-15,46100000,No
Ganglands: Season 2 // Braqueurs : La série: Saison 2,Yes,2023-02-17,46000000,No
The Queen's Gambit: Limited Series,Yes,2020-10-23,45900000,No
Virgin River: Season 4,Yes,2022-07-20,45900000,No
Gabby's Dollhouse: Season 7,Yes,2023-03-20,45800000,No
A Beautiful Life,Yes,2023-06-01,45700000,Yes
Peppa Pig: Season 6,No,,45700000,No
Copycat Killer: Season 1 // 模仿犯: 第 1 季,Yes,2023-03-31,45600000,No
Avatar: The Last Airbender: Book 1,No,,45500000,No
Friends (1994): Season 9,No,,45400000,No
Peaky Blinders: Season 2,No,2014-11-14,45400000,No
The Flash (2014): Season 2,No,,45400000,No
Boys Over Flowers: Volume 1 // 꽃보다 남자: 1권,No,,45300000,No
The Office (U.S.): Season 2,No,,45300000,No
Transatlantic: Limited Series,Yes,2023-04-07,45300000,No
Friends (1994): Season 4,No,,45200000,No
Masha and the Bear: Season 2,No,,45100000,No
Friends (1994): Season 8,No,,44900000,No
The Woman King,No,,44900000,Yes
Love Island USA: Season 2,No,,44800000,No
Money Heist: Part 5 // La casa de papel: Parte 5,Yes,2021-09-03,44700000,No
The Walking Dead: Season 1,No,,44600000,No
Grey's Anatomy: Season 3,No,,44300000,No
S.W.A.T. (2017): Season 3,No,,44200000,No
Las muñecas de la mafia: Season 1,No,2015-07-01,44000000,No
Lucifer: Season 4,No,2019-05-08,44000000,No
Better Call Saul: Season 5,No,2020-02-24,43900000,No
Teen Wolf (2011): Season 3,No,,43900000,No
Friends (1994): Season 2,No,,43800000,No
In Love All Over Again: Season 1 // Todas las veces que nos enamoramos: Season 1,Yes,2023-02-14,43800000,No
PIECES OF HER: Season 1,Yes,2022-03-04,43800000,No
F9: The Fast Saga,No,,43700000,No
The 100: Season 1,No,,43600000,No
The Blacklist: Season 7,No,,43500000,No
Vikings (2013): Season 5,No,,43400000,No
Shameless (U.S.): Season 2,No,,43300000,No
The Office (U.S.): Season 6,No,,43300000,No
El Chema: Season 1,No,,43200000,No
Rosario Tijeras (Mexico): Season 2,No,,43200000,No
Santiago of the Seas: Season 1,No,,43200000,No
Seinfeld: Season 6,Yes,,43200000,No
Inside Man: Season 1,Yes,2022-10-31,43100000,No
The Last Kingdom: Season 4,No,2020-04-26,42900000,No
Through My Window 2: Across the Sea // A través de mi ventana 2: A través del mar,Yes,2023-06-23,42900000,No
CoComelon: Season 6,Yes,2022-09-05,42800000,No
Seinfeld: Season 4,Yes,,42800000,No
Valeria: Season 3,Yes,2023-06-02,42800000,No
Pokémon The Series: Indigo League: Season 1 // ポケットモンスター,No,,42700000,No
Purple Hearts,Yes,2022-07-29,42700000,Yes
The Last Kingdom: Season 3,Yes,2018-11-19,42700000,No
Waco: American Apocalypse: Limited Series,Yes,2023-03-22,42700000,No
Gabby's Dollhouse: Season 2,Yes,2021-08-10,42600000,No
Too Hot to Handle: Season 4,Yes,2022-12-07,42600000,No
Guillermo del Toro’s Pinocchio,Yes,2022-12-09,42500000,Yes
Unlocked // 스마트폰을 떨어뜨렸을 뿐인데,Yes,2023-02-17,42500000,Yes
The Crown: Season 1,Yes,2016-11-04,42400000,No
Arrow: Season 1,No,,42300000,No
Blippi's Adventures: Season 1,Yes,,42100000,No
The Good Doctor: Season 4,No,,42100000,No
Lucifer: Season 6,No,2021-09-10,41800000,No
"Pamela, a love story",Yes,2023-01-31,41800000,Yes
Chor Nikal Ke Bhaga // चोर निकल के भागा,Yes,2023-03-24,41700000,Yes
Seinfeld: Season 7,Yes,,41700000,No
The Garfield Show: Season 1,No,,41500000,No
Agency: Season 1 // 대행사: 시즌 1,No,,41400000,No
White Chicks,No,,41400000,Yes
Wellmania: Season 1,Yes,2023-03-29,41300000,No
Seinfeld: Season 3,Yes,,41200000,No
The Creature Cases: Chapter 1,Yes,2022-04-12,41200000,No
Maestro in Blue: Season 1 // Maestro: Season 1,Yes,2022-12-18,41100000,No
Turbo (2013),No,,41100000,Yes
McGREGOR FOREVER: Limited Series,Yes,2023-05-17,41000000,No
Black Money Love: Season 1 // Kara Para Ask: Sezon 1,No,,40900000,No
Bloodshot (2020),No,,40900000,Yes
The Flash (2014): Season 8,No,,40900000,No
El Chapo: Season 1,Yes,2017-06-16,40600000,No
Shameless (U.S.): Season 3,No,,40600000,No
Demon Slayer: Kimetsu no Yaiba: Swordsmith Village Arc // 鬼滅の刃: 刀鍛冶の里編,No,,40500000,No
Jane The Virgin: Season 2,No,,40400000,No
The Snitch Cartel: Origins: Season 1 // El cartel de los sapos: El origen: Temporada 1,No,2021-07-28,40400000,No
Guillermo del Toro's Cabinet of Curiosities: Season 1,Yes,2022-10-25,40300000,No
Pokémon Journeys: The Series: Season 1,No,,40300000,No
Seinfeld: Season 5,Yes,,40300000,No
Shrek Forever After,No,,40300000,Yes
The 100: Season 2,No,,40300000,No
Unsolved Mysteries: Volume 3,Yes,2022-10-18,40300000,No
Better Call Saul: Season 3,No,2017-04-11,40200000,No
The Last Kingdom: Season 2,Yes,2017-03-20,40200000,No
Too Hot to Handle: Germany: Season 1,Yes,2023-02-28,40200000,No
Avatar: The Last Airbender: Book 3,No,,40100000,No
Our Planet,Yes,2019-04-05,40100000,Yes
H2O: Just Add Water: Season 1,No,,40000000,No
The King: Eternal Monarch: Season 1 // 더 킹: 영원의 군주: 시즌 1,Yes,2020-04-17,39900000,No
The Office (U.S.): Season 7,No,,39900000,No
Grey's Anatomy: Season 5,No,,39800000,No
Emergency: NYC: Season 1,Yes,2023-03-29,39700000,No
In the Name of God: A Holy Betrayal: Season 1 // 나는 신이다: 신이 배신한 사람들: 시즌 1,Yes,2023-03-03,39700000,No
Better Call Saul: Season 2,No,2016-02-15,39500000,No
Gabby's Dollhouse: Season 6,Yes,2022-11-01,39500000,No
Infiesto,Yes,2023-02-03,39500000,Yes
