 Area	 Velocity
 0.016 	 294.9 
 0.016 	 294.1 
 0.016 	 301.7 
 0.016 	 307.9 
 0.016 	 285.5 
 0.016 	 298.6 
 0.016 	 303.1 
 0.016 	 305.3 
 0.016 	 264.9 
 0.016 	 262.9 
 0.016 	 256 
 0.016 	 255.3 
 0.016 	 256.3 
 0.016 	 258.2 
 0.016 	 243.6 
 0.016 	 250.1 
 0.03 	 295 
 0.03 	 301.1 
 0.03 	 293.1 
 0.03 	 300.6 
 0.03 	 285 
 0.03 	 289.1 
 0.03 	 277.8 
 0.03 	 266.4 
 0.03 	 248.1 
 0.03 	 255.7 
 0.03 	 245.7 
 0.03 	 251 
 0.03 	 254.9 
 0.03 	 254.5 
 0.03 	 246.3 
 0.03 	 246.9 
 0.044 	 270.5 
 0.044 	 263.2 
 0.044 	 278.6 
 0.044 	 267.9 
 0.044 	 269.6 
 0.044 	 269.1 
 0.044 	 262.2 
 0.044 	 263.2 
 0.044 	 224.2 
 0.044 	 227.9 
 0.044 	 217.7 
 0.044 	 219.6 
 0.044 	 228.5 
 0.044 	 230.9 
 0.044 	 227.6 
 0.044 	 228.6 

