Season,Player,,G,GP,G/GP,Leage average goals/team/game,Reg Season games,
2024-25,Nico Hischier,2025,9,12,0.75,3.25,,
2023-24,Auston Matthews,2024,69,81,0.85,3.11,82,0.841463415
2022-23,Connor McDavid,2023,64,82,0.78,3.18,82,0.780487805
2021-22,Auston Matthews,2022,60,73,0.82,3.14,82,0.731707317
2020-21,Auston Matthews,2021,41,52,0.79,2.94,56,0.732142857
2019-20,David Pastr?ák,2020,48,70,0.69,3.02,68,0.705882353
2019-20,Alex Ovechkin,2020,48,68,0.71,3.02,68,0.705882353
2018-19,Alex Ovechkin,2019,51,81,0.63,3.01,82,0.62195122
2017-18,Alex Ovechkin,2018,49,82,0.6,2.97,82,0.597560976
2016-17,Sidney Crosby,2017,44,75,0.59,2.77,82,0.536585366
2015-16,Alex Ovechkin,2016,50,79,0.63,2.71,82,0.609756098
2014-15,Alex Ovechkin,2015,53,81,0.65,2.73,82,0.646341463
2013-14,Alex Ovechkin,2014,51,78,0.65,2.74,82,0.62195122
2012-13,Alex Ovechkin,2013,32,48,0.67,2.72,48,0.666666667
2011-12,Steven Stamkos,2012,60,82,0.73,2.73,82,0.731707317
2010-11,Corey Perry,2011,50,82,0.61,2.79,82,0.609756098
2009-10,Steven Stamkos,2010,51,82,0.62,2.84,82,0.62195122
2009-10,Sidney Crosby,2010,51,81,0.63,2.84,82,0.62195122
2008-09,Alex Ovechkin,2009,56,79,0.71,2.91,82,0.682926829
2007-08,Alex Ovechkin,2008,65,82,0.79,2.78,82,0.792682927
2006-07,Vincent Lecavalier,2007,52,82,0.63,2.95,82,0.634146341
2005-06,Jonathan Cheechoo,2006,56,82,0.68,3.08,82,0.682926829
2003-04,Rick Nash,2004,41,80,0.51,2.57,82,0.5
2003-04,Ilya Kovalchuk,2004,41,81,0.51,2.57,82,0.5
2003-04,Jarome Iginla*,2004,41,81,0.51,2.57,82,0.5
2002-03,Milan Hejduk,2003,50,82,0.61,2.65,82,0.609756098
2001-02,Jarome Iginla*,2002,52,82,0.63,2.62,82,0.634146341
2000-01,Pavel Bure*,2001,59,82,0.72,2.76,82,0.719512195
1999-00,Pavel Bure*,2000,58,74,0.78,2.75,82,0.707317073
1998-99,Teemu Selänne*,1999,47,75,0.63,2.63,82,0.573170732
1997-98,Teemu Selänne*,1998,52,73,0.71,2.64,82,0.634146341
1997-98,Peter Bondra,1998,52,76,0.68,2.64,82,0.634146341
1996-97,Keith Tkachuk,1997,52,81,0.64,2.92,82,0.634146341
1995-96,Mario Lemieux*,1996,69,70,0.99,3.14,82,0.841463415
1994-95,Peter Bondra,1995,34,47,0.72,2.99,48,0.708333333
1993-94,Pavel Bure*,1994,60,76,0.79,3.24,84,0.714285714
1992-93,Teemu Selänne*,1993,76,84,0.9,3.63,84,0.904761905
1992-93,Alexander Mogilny,1993,76,77,0.99,3.63,84,0.904761905
1991-92,Brett Hull*,1992,70,73,0.96,3.48,80,0.875
1990-91,Brett Hull*,1991,86,78,1.1,3.46,80,1.075
1989-90,Brett Hull*,1990,72,80,0.9,3.68,80,0.9
1988-89,Mario Lemieux*,1989,85,76,1.12,3.74,80,1.0625
1987-88,Mario Lemieux*,1988,70,77,0.91,3.71,80,0.875
1986-87,Wayne Gretzky*,1987,62,79,0.78,3.67,80,0.775
1985-86,Jari Kurri*,1986,68,78,0.87,3.97,80,0.85
1984-85,Wayne Gretzky*,1985,73,80,0.91,3.89,80,0.9125
1983-84,Wayne Gretzky*,1984,87,74,1.18,3.94,80,1.0875
1982-83,Wayne Gretzky*,1983,71,80,0.89,3.86,80,0.8875
1981-82,Wayne Gretzky*,1982,92,80,1.15,4.01,80,1.15
1980-81,Mike Bossy*,1981,68,79,0.86,3.84,80,0.85
1979-80,Blaine Stoughton,1980,56,80,0.7,3.51,80,0.7
1979-80,Charlie Simmer,1980,56,64,0.88,3.51,80,0.7
1979-80,Danny Gare,1980,56,76,0.74,3.51,80,0.7
1978-79,Mike Bossy*,1979,69,80,0.86,3.5,80,0.8625
1977-78,Guy Lafleur*,1978,60,78,0.77,3.3,80,0.75
1976-77,Steve Shutt*,1977,60,80,0.75,3.32,80,0.75
1975-76,Reggie Leach,1976,61,80,0.76,3.41,80,0.7625
1974-75,Phil Esposito*,1975,61,79,0.77,3.43,80,0.7625
1973-74,Phil Esposito*,1974,68,78,0.87,3.2,78,0.871794872
1972-73,Phil Esposito*,1973,55,78,0.71,3.28,78,0.705128205
1971-72,Phil Esposito*,1972,66,76,0.87,3.07,78,0.846153846
